Unnamed: 0,County,Population,Heart Disease Value,Year,FIPS,County Code,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
Autauga County,AL,35498.0,200.1,2018,1001.0,1001,200.1,200.1,200.1,200.1,200.1,200.1
Barbour County,AL,12044.0,253.8,2018,1005.0,1005,253.8,253.8,253.8,253.8,253.8,253.8
Butler County,KS,12993.0,182.2,2018,20015.0,20015,182.2,182.2,182.2,182.2,182.2,182.2
Cleburne County,AR,6967.0,144.7,2018,5023.0,5023,144.7,144.7,144.7,144.7,144.7,144.7
Dale County,AL,14428.0,217.8,2018,1045.0,1045,217.8,217.8,217.8,217.8,217.8,217.8
Escambia County,AL,9890.0,231.3,2018,1053.0,1053,231.3,231.3,231.3,231.3,231.3,231.3
Etowah County,AL,9652.0,275.9,2018,1055.0,1055,275.9,275.9,275.9,275.9,275.9,275.9
Lowndes County,GA,56085.0,201.4,2018,13185.0,13185,201.4,201.4,201.4,201.4,201.4,201.4
Mobile County,AL,190265.0,232.4,2018,1097.0,1097,232.4,232.4,232.4,232.4,232.4,232.4
Talladega County,AL,12264.0,267.4,2018,1121.0,1121,267.4,267.4,267.4,267.4,267.4,267.4
Tallapoosa County,AL,14595.0,241.6,2018,1123.0,1123,241.6,241.6,241.6,241.6,241.6,241.6
Tuscaloosa County,AL,7599.0,232.1,2018,1125.0,1125,232.1,232.1,232.1,232.1,232.1,232.1
Cochise County,AZ,42912.0,162.7,2018,4003.0,4003,162.7,162.7,162.7,162.7,162.7,162.7
Gila County,AZ,7356.0,203.5,2018,4007.0,4007,203.5,203.5,203.5,203.5,203.5,203.5
Maricopa County,AZ,35216.0,133.6,2018,4013.0,4013,133.6,133.6,133.6,133.6,133.6,133.6
Mohave County,AZ,40252.0,225.3,2018,4015.0,4015,225.3,225.3,225.3,225.3,225.3,225.3
Pima County,AZ,59243.0,138.9,2018,4019.0,4019,138.9,138.9,138.9,138.9,138.9,138.9
Pinal County,AZ,40538.0,119.4,2018,4021.0,4021,119.4,119.4,119.4,119.4,119.4,119.4
Santa Cruz County,CA,11945.0,113.4,2018,6087.0,6087,113.4,113.4,113.4,113.4,113.4,113.4
Yavapai County,AZ,11201.0,140.8,2018,4025.0,4025,140.8,140.8,140.8,140.8,140.8,140.8
Yuma County,AZ,16120.0,123.3,2018,4027.0,4027,123.3,123.3,123.3,123.3,123.3,123.3
Arkansas County,AR,8773.0,230.2,2018,5001.0,5001,230.2,230.2,230.2,230.2,230.2,230.2
Clark County,WA,23331.0,138.6,2018,53011.0,53011,138.6,138.6,138.6,138.6,138.6,138.6
Columbia County,OR,7262.0,158.3,2018,41009.0,41009,158.3,158.3,158.3,158.3,158.3,158.3
Cross County,AR,7962.0,231.9,2018,5037.0,5037,231.9,231.9,231.9,231.9,231.9,231.9
Garland County,AR,12807.0,232.8,2018,5051.0,5051,232.8,232.8,232.8,232.8,232.8,232.8
Miller County,AR,30259.0,210.4,2018,5091.0,5091,210.4,210.4,210.4,210.4,210.4,210.4
Mississippi County,AR,14051.0,296.2,2018,5093.0,5093,296.2,296.2,296.2,296.2,296.2,296.2
Nevada County,CA,16553.0,136.3,2018,6057.0,6057,136.3,136.3,136.3,136.3,136.3,136.3
Pulaski County,AR,18214.0,195.3,2018,5119.0,5119,195.3,195.3,195.3,195.3,195.3,195.3
St. Francis County,AR,14291.0,266.5,2018,5123.0,5123,266.5,266.5,266.5,266.5,266.5,266.5
White County,AR,23916.0,258.7,2018,5145.0,5145,258.7,258.7,258.7,258.7,258.7,258.7
